held_out,n_test,R2_log,MAE_sec
AMD EPYC 9124 16-Core Processor | NVIDIA RTX 6000 Ada Generation,4380,0.7299294427914507,1.2716292126814248
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1440,0.9156234045667652,0.2655446604598508
Intel(R) Xeon(R) CPU @ 2.00GHz | Tesla T4,1440,0.9203218787106744,2.0284390349624455
AMD Ryzen 7 5700X 8-Core Processor | NVIDIA GeForce RTX 3080,4380,0.9399281502709235,0.38540070162345175
Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz | NVIDIA GeForce RTX 2070 SUPER,1440,0.9476019363270702,0.2530747679409225
AMD Ryzen 7 7700 8-Core Processor | NVIDIA GeForce RTX 5070 Ti,4380,0.9514078882505854,0.2519965633048555
AMD Ryzen 7 5700X 8-Core Processor | NVIDIA GeForce RTX 3060,4380,0.9643856154019855,0.15572598074784394
AMD Ryzen 5 5600 6-Core Processor | NVIDIA GeForce RTX 4060,4380,0.9761369654814507,0.3531195471774824
