group,y_true_log,y_pred_log,y_true_sec,y_pred_sec,model_name,used_gpu,img_size,batch
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.682969810108868,0.3784746152407845,1.9797484874725344,1.4600557431641044,yolov5nu.pt,0,960,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.0875720757154992,0.683277320615902,2.9670615196228027,1.9803573745485052,yolov5nu.pt,0,1120,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.2523821673292217,-1.933825972292626,0.285823106765747,0.14459392648867067,yolov5su.pt,0,160,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.8564658511331442,-2.9014965763183294,0.1562237739562988,0.05494093519645703,yolov5su.pt,0,320,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.1683262275458965,-2.1500754199573566,0.3108868598937988,0.11647537287456747,yolov5su.pt,0,640,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.2360863034527363,-1.8096662265254575,0.2905189990997314,0.1637087693295049,yolov5su.pt,0,800,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.1513772814619812,-1.466222166437518,0.3162009716033935,0.23079574822094714,yolov5su.pt,0,960,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.9106309858018493,-1.1556449734272876,0.4022703170776367,0.3148543986804639,yolov5su.pt,0,1120,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-2.173844616548779,-2.9570885240801412,0.1137394905090332,0.05197000654206952,yolov5su.pt,0,160,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.9057330462709314,-2.376095039863851,0.14871358871459958,0.09291269038412099,yolov5su.pt,0,320,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.0112157610393273,-1.3822539643316365,0.3637764453887939,0.2510121425488966,yolov5su.pt,0,640,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.5091487226996646,-1.012297828309316,0.6010069847106934,0.3633830276942379,yolov5su.pt,0,800,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.5305932169419771,-0.7227216291601056,1.6999404430389404,0.48542929794358625,yolov5su.pt,0,960,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.45637354470264213,-0.4094950388087537,1.5783398151397705,0.6639854523821391,yolov5su.pt,0,1120,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.6000984596149495,-2.6061394363168064,0.2018766403198242,0.07381897723567114,yolov5su.pt,0,160,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.0436907144035776,-1.763038807266559,0.3521525859832763,0.17152284619787492,yolov5su.pt,0,320,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.07245842476085529,-0.5722974136650766,1.075148105621338,0.5642276841390584,yolov5su.pt,0,640,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.5017721608091846,-0.031063806875545108,1.6516456604003906,0.9694137158422701,yolov5su.pt,0,800,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.0138353865347176,0.35678816891476806,2.756151676177978,1.4287331876946074,yolov5su.pt,0,960,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.4586552647281006,0.724726225631968,4.300173044204712,2.064165906885657,yolov5su.pt,0,1120,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.617246487885515,-2.174222058672967,0.1984443664550781,0.11369656853492154,yolov5su.pt,0,160,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.7298767213073862,-1.2991647197693903,0.4819684028625488,0.2727595285511934,yolov5su.pt,0,320,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.4386771964319459,0.031153203485488,1.550654649734497,1.0316435431667237,yolov5su.pt,0,640,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.8344799791406979,0.5331699811776742,2.3036158084869385,1.704326437184993,yolov5su.pt,0,800,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.3776143636269338,0.9799328449899571,3.96543025970459,2.6642773163516735,yolov5su.pt,0,960,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.6133415876437465,1.3405801536550779,5.019556522369385,3.821259780242698,yolov5su.pt,0,1120,8
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.06959067895441,-2.0345412321644383,0.3431489467620849,0.13074044826026196,yolov5su.pt,0,160,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.48801963785877545,-1.1520877545943287,0.6138408184051514,0.31597639909446057,yolov5su.pt,0,320,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.0565048624074176,0.2921263343546143,2.87630033493042,1.3392722030415285,yolov5su.pt,0,640,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.1526847300368084,0.7411253351313623,3.1666831970214844,2.0982954719843807,yolov5su.pt,0,800,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.9872257307606216,1.191510661903519,7.295266628265381,3.2920506283492936,yolov5su.pt,0,960,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.773872879971149,1.6312943175870174,5.893634557723999,5.110485030345445,yolov5su.pt,0,1120,10
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.4026608305385988,-1.4122507197497727,0.6685388088226318,0.2435944029637179,yolov5mu.pt,0,160,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.549039505310736,-2.290803603490794,0.2124519348144531,0.10118511646073579,yolov5mu.pt,0,320,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.8762441844196509,-1.3856616794860128,0.4163436889648437,0.2501582204547796,yolov5mu.pt,0,640,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.6276409099932139,-1.0542569959974886,0.5338497161865234,0.34845123180781434,yolov5mu.pt,0,800,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.29114481232698686,-0.8149321638690935,0.7474074363708496,0.44266935531918505,yolov5mu.pt,0,960,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.0461983158366917,-0.5630864371187178,0.95485258102417,0.56944878089032,yolov5mu.pt,0,1120,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.576732108771527,-2.6025098010120242,0.2066493034362793,0.07408740004537291,yolov5mu.pt,0,160,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.2743137512096665,-1.8147126590151552,0.2796227931976318,0.16288470511815084,yolov5mu.pt,0,320,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.31486390621229393,-0.8463952124646517,0.7298882007598877,0.4289584523279105,yolov5mu.pt,0,640,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.28837950155864833,-0.419589868694075,1.334263563156128,0.65731635055304,yolov5mu.pt,0,800,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.5396190363775538,0.10291315110245369,1.71535325050354,1.1083951419995948,yolov5mu.pt,0,960,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.7715968275123796,0.49538208049589105,2.163217782974243,1.6411251611974658,yolov5mu.pt,0,1120,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.4530101368246415,-2.0836027990900496,0.2338652610778808,0.12448092357805672,yolov5mu.pt,0,160,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.6436885779103112,-1.0463343883525544,0.5253510475158691,0.35122283888124495,yolov5mu.pt,0,320,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.48469950696344555,0.2000886938641635,1.6236870288848877,1.2215110938947775,yolov5mu.pt,0,640,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.9273010998370933,0.8157205636180509,2.5276780128479004,2.2608041387823548,yolov5mu.pt,0,800,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.4464872118622125,1.2646239031386244,4.2481653690338135,3.5417604406031518,yolov5mu.pt,0,960,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.6990862991924316,1.563136886335941,5.468948125839234,4.773772564511487,yolov5mu.pt,0,1120,5
